Model,RMSE,MAE,R2,Direction_Accuracy
Linear Regression,0.12969772630380355,0.08990624939721686,0.1803547568775442,99.6
XGBoost,0.10157789469302786,0.0707846239030367,0.4972412795870893,99.6
BiLSTM,0.14675795596022698,0.10546978286832648,-0.026087726014346835,99.58333333333333
