Metric,2024 Model,2025 Model
Vốn cuối kỳ (VND),"139,204,956","74,239,721"
Total Return (%),39.20%,-25.76%
Sharpe Ratio,2.0445,-1.3623
Max Drawdown (%),-5.42%,-27.19%
Win Rate (%),24.80%,20.08%
Số giao dịch,86,103
Tổng phí (VND),"16,299,787","13,305,072"
Buy & Hold Return (%),85.45%,-26.24%
Alpha (%),-46.25%,0.48%
