Metric,Model_2024,BuyHold_2024,Model_2025,BuyHold_2025
Total Return (%),74.89691686639384,137.83893387822565,-27.692897520761385,-32.263132128127424
Sharpe Ratio,2.2391545954373306,2.7686902109026583,-0.874907556855959,-0.7255865340625907
Max Drawdown (%),-10.660133900034245,-19.3963610244159,-31.384496047725907,-43.22799596658675
Win Rate (%),34.0,54.400000000000006,21.370967741935484,44.75806451612903
Num Trades,109.0,2.0,127.0,2.0
Total Commission (VND),24296716.1562468,507069.0031358892,16548173.996712979,251532.59810526762
